Plant_ID,Days,Temperature_C,Humidity_%,Rainfall_mm,Soil_Moisture_%,Sunlight_hr,Fertilizer_g,Plant_Height_cm
P048,82,37,81,16,30,9,45,57
P049,174,21,48,8,37,4,45,106.33
P050,77,37,53,22,51,5,50,62.15
P051,134,33,56,28,33,4,50,87.03
P052,75,19,40,10,79,5,50,67.85
P053,46,32,75,22,57,8,10,41.8
P054,43,35,42,26,53,8,45,41.08
P055,37,19,59,11,80,10,12,46.64
P056,58,25,82,3,52,10,45,52.83
P057,109,37,87,4,45,10,20,77.8
P058,50,31,41,5,77,6,36,52.5
P059,68,26,50,25,74,4,34,62.99
P060,125,25,52,26,59,6,29,90.69
P061,63,25,41,21,42,7,31,49.14
P062,22,26,62,20,62,7,44,32.6
P063,12,21,56,5,67,6,12,23.26
P064,116,29,86,25,50,7,48,85.94
P065,34,30,76,6,46,4,37,30.7
P066,142,24,63,13,34,9,31,92.6
P067,174,21,86,28,49,8,29,114.6
P068,88,30,84,9,65,5,22,67.5
P069,102,23,79,18,49,7,45,75.89
P070,82,27,53,13,80,8,48,72.15
P071,124,32,68,21,43,8,40,86.71
P072,48,20,58,16,72,9,49,49.33
P073,65,27,54,25,42,5,11,47.71
P074,126,37,89,2,59,7,50,88.53
P075,103,33,65,7,39,9,10,72.37
P076,32,31,54,5,74,8,39,38.19
P077,68,21,69,4,59,9,43,59.86
P078,157,28,88,28,58,8,42,107.55
P079,145,32,50,23,60,7,26,101.37
P080,168,26,89,24,63,7,50,113.22
P081,117,20,85,9,45,6,31,77.93
P082,143,20,48,4,44,7,19,93.65
P083,21,31,66,10,64,7,36,29.61
P084,112,30,89,18,74,4,46,84.28
P085,6,29,59,24,54,10,36,24.13
P086,144,37,54,15,44,6,37,94.18
P087,104,28,82,21,55,9,20,78.82
P088,37,37,74,0,55,8,46,39.1
P089,26,38,67,4,59,5,13,29.13
P090,88,24,69,10,51,10,34,65.34
P091,112,26,45,15,31,9,44,72.97
P092,94,25,81,2,79,9,12,76.53
P093,68,24,41,19,39,5,18,50.68
P094,34,36,53,14,74,6,33,39.12
P095,160,21,89,26,40,6,16,102.61
P096,84,36,83,29,54,7,22,62.07
P097,165,25,46,22,79,6,48,118.23
P098,149,19,62,17,57,9,33,98.69
P099,170,28,40,27,56,10,41,112.84
P100,97,38,69,22,39,7,21,68.56
P101,171,26,79,25,64,10,40,117.1
P102,156,26,60,27,45,10,15,101.89
P103,120,25,88,14,66,8,34,86.78
P104,131,28,51,15,43,6,26,86.44
P105,157,26,75,0,63,5,15,102.81
P106,109,33,75,24,45,9,40,78.55
P107,130,32,90,0,35,6,24,82.5
P108,67,27,82,18,53,7,45,56.31
P109,113,35,61,11,74,7,27,83.33
P110,64,21,86,6,50,4,44,53.65
P111,52,24,53,23,60,6,47,52.27
P112,139,37,58,3,42,6,24,88.58
P113,82,18,85,17,38,6,12,60.31
P114,146,27,84,30,38,9,41,94.9
P115,8,36,58,15,60,7,31,21.75
P116,18,26,70,3,34,7,41,20.34
P117,166,19,49,4,66,6,15,112.85
P118,35,35,88,13,68,8,49,40.05
P119,138,30,68,29,58,6,47,99.87
P120,83,36,79,1,69,9,16,68.66
P121,58,38,53,8,72,4,20,50.18
P122,146,20,50,0,56,7,48,98.01
P123,13,25,58,22,48,9,39,23.08
P124,64,26,90,25,70,8,22,57.91
P125,144,25,81,4,47,10,19,92.79
P126,47,27,78,23,66,6,38,45.82
P127,82,30,57,16,64,7,38,63.97
P128,15,31,87,10,68,6,11,25.89
P129,177,36,77,30,31,10,27,111.85
P130,49,33,73,20,58,6,21,48.58
P131,116,38,71,2,60,6,36,80.66
P132,176,21,50,10,56,9,41,114.69
P133,107,35,42,14,35,6,26,70.22
P134,108,34,40,21,64,7,36,77.94
P135,137,29,79,24,61,9,38,99.01
P136,57,26,75,4,48,7,41,45.66
P137,166,37,55,22,40,6,45,103.41
P138,109,20,54,26,37,7,17,74.51
P139,44,33,85,9,62,9,27,43.81
P140,128,33,55,14,65,5,34,88.76
P141,158,34,87,28,38,10,14,100.78
P142,111,28,90,16,47,10,10,76.78
P143,81,36,77,21,61,10,19,64.65
P144,128,29,61,17,78,8,34,95.37
P145,87,24,84,7,66,7,24,70.22
P146,110,19,60,23,60,9,34,80.43
P147,174,38,49,15,32,5,42,110.34
P148,89,21,68,3,63,7,10,68.38
P149,109,38,49,2,60,10,26,77.74
P150,106,38,45,27,51,10,44,76.99
P151,86,38,85,28,78,7,44,69.71
P152,22,25,80,21,48,5,15,27.52
P153,30,38,85,27,36,7,20,31.07
P154,12,19,60,25,33,6,32,18.72
P155,42,25,73,13,66,9,21,42.5
P156,25,37,64,19,73,5,41,38.72
P157,41,25,69,20,46,7,26,40.04
P158,124,27,83,17,40,4,38,85.41
P159,155,27,80,30,57,9,26,105.97
P160,82,24,64,27,60,4,25,63.72
P161,96,36,58,22,48,4,35,67.4
P162,149,19,78,23,61,10,28,104.51
P163,63,37,62,7,70,5,49,54.33
P164,173,22,80,3,70,9,12,114.77
P165,117,19,77,11,76,5,15,88.11
P166,88,31,51,6,38,10,44,65.98
P167,98,34,72,29,47,10,20,70.29
P168,128,27,87,27,51,10,17,89.35
P169,24,22,88,30,44,10,35,33.93
P170,147,29,45,25,55,4,26,99.4
P171,121,29,83,23,73,6,47,90.26
P172,168,29,46,21,44,7,11,108.68
P173,148,28,79,7,71,4,50,105.55
P174,82,38,66,3,38,4,12,54.47
P175,131,21,46,7,64,5,34,90.94
P176,176,35,66,18,77,9,19,123.06
P177,172,21,71,19,56,6,12,113.12
P178,60,32,68,30,45,10,33,48.92
P179,180,29,74,28,71,6,13,121.01
P180,53,21,69,2,72,5,50,51.3
P181,10,19,90,10,45,5,46,18.75
P182,146,24,77,6,44,6,19,96.08
P183,157,18,57,27,39,5,44,99.51
P184,49,21,82,27,31,5,10,37.42
P185,65,36,60,0,41,6,13,45.55
P186,112,34,47,23,34,7,38,77.24
P187,136,36,46,14,62,5,49,91.92
P188,173,34,59,14,71,4,13,118.34
P189,107,31,83,3,61,9,38,76.47
P190,25,28,78,4,34,5,27,26.42
P191,154,35,85,10,54,8,43,101.88
P192,134,37,67,3,80,9,17,98.98
P193,171,35,86,27,43,7,38,112.8
P194,110,28,69,12,56,9,16,78.29
P195,85,26,63,30,39,9,40,61.21
P196,26,20,67,3,77,9,33,39.5
P197,147,19,77,30,65,8,31,103.79
P198,110,29,82,30,78,7,13,88.19
P199,158,27,62,3,66,8,23,105.4
P200,128,25,46,11,65,6,17,91.7
P201,151,25,67,27,65,10,49,107.73
P202,169,35,41,19,72,10,27,113.65
P203,74,27,61,11,30,5,19,52.06
P204,107,20,49,23,70,4,15,80.86
P205,60,30,66,14,51,5,33,48.9
P206,88,36,78,2,33,5,20,60.13
P207,17,20,57,14,72,7,41,32.65
P208,111,26,53,24,62,4,32,80.81
P209,77,36,71,16,72,6,12,61.69
P210,158,19,40,6,49,5,18,102.78
P211,79,28,47,0,61,9,37,61.75
P212,102,35,85,7,62,8,32,73.15
P213,15,31,41,14,34,10,30,22.96
P214,151,30,85,20,56,6,17,100.79
P215,88,23,79,14,74,6,15,69.89
P216,32,25,67,18,55,8,15,35.35
P217,84,28,54,10,79,5,14,69.26
P218,34,34,72,6,79,6,32,43.27
P219,170,22,55,3,39,6,22,104.01
P220,44,38,44,5,79,9,41,48.13
P221,149,36,68,21,66,9,50,107.74
P222,87,38,60,4,58,4,40,64.52
P223,82,26,77,1,52,8,14,60.3
P224,120,19,43,11,48,4,15,80.64
P225,134,30,69,18,65,10,12,94.95
P226,151,38,52,10,68,7,42,102.11
P227,20,32,46,25,51,9,15,29.2
P228,49,19,55,22,58,7,43,46.87
P229,45,29,63,29,48,7,36,44.85
P230,178,37,43,25,70,9,31,118.42
P231,29,35,83,12,48,6,48,34.81
P232,90,20,77,21,39,6,29,66.33
P233,174,30,48,19,75,4,29,118.93
P234,169,28,48,21,74,10,43,116.34
P235,176,31,72,11,31,6,29,106.7
P236,59,28,89,15,42,5,18,44.73
P237,80,21,72,24,64,10,43,63.96
P238,91,37,48,19,54,5,20,64.83
P239,164,23,86,14,32,7,33,103.88
P240,65,32,79,9,78,9,38,58.94
P241,66,27,90,15,42,6,46,55.19
P242,123,27,89,12,62,8,36,91.39
P243,56,37,48,27,46,4,40,49.02
P244,146,21,85,27,63,10,17,100.43
P245,46,26,68,28,62,5,37,43.95
P246,61,32,62,29,31,7,13,45.62
P247,100,25,64,2,53,5,11,69.26
P248,30,38,61,25,39,5,12,28.12
P249,125,22,88,22,60,7,49,86.72
P250,25,18,56,6,39,8,48,28.15
P251,33,27,55,9,37,4,25,30.17
P252,164,32,44,3,61,8,44,107.31
P253,136,36,55,22,39,6,37,86.31
P254,95,25,76,13,41,9,15,67.22
P255,97,20,73,17,62,10,42,75.17
P256,104,33,42,20,54,6,26,76.58
P257,96,20,62,7,76,9,50,74.67
P258,153,28,48,1,52,8,31,103.46
P259,49,32,84,15,70,5,18,45.2
P260,122,19,58,6,32,10,22,81.41
P261,85,27,72,12,64,7,26,64.56
P262,170,24,58,11,79,4,31,115.24
P263,99,31,65,23,58,7,31,77.27
P264,132,33,63,29,63,6,15,94.28
P265,25,31,78,26,41,8,28,28.85
P266,25,28,82,9,49,7,48,32.88
P267,47,32,62,14,32,9,32,39.93
P268,116,26,80,25,33,4,50,77.15
P269,136,23,41,4,68,9,38,93.78
P270,22,25,89,20,53,6,34,33.09
P271,13,37,49,21,58,6,33,25.66
P272,24,36,48,16,53,7,30,31.62
P273,68,21,41,23,41,7,43,52.57
P274,148,21,56,24,46,9,38,97.32
P275,161,27,84,29,61,5,17,106.41
P276,23,32,51,28,75,7,15,38.22
P277,86,29,85,2,65,8,28,70.14
P278,45,38,51,25,53,8,24,40.53
P279,56,22,55,25,61,4,33,50.7
P280,99,32,75,4,69,4,14,72.5
P281,127,34,66,24,56,10,46,88.29
P282,86,38,44,14,59,9,43,66.34
P283,146,38,77,5,79,5,37,102.87
P284,19,21,73,4,49,5,20,23.87
P285,62,29,73,28,48,10,15,50.97
P286,167,35,57,4,70,6,49,113.58
P287,133,38,50,18,67,5,20,93.84
P288,159,28,76,1,31,4,12,99.97
P289,152,26,81,6,79,8,36,108.9
P290,12,33,80,17,48,9,29,23.86
P291,180,30,59,14,34,9,13,110.13
P292,111,33,69,6,51,8,19,76.31
P293,86,29,65,4,78,6,42,71.57
P294,86,25,69,3,47,7,25,60.48
P295,17,27,64,27,69,7,25,35.12
P296,45,28,76,23,50,5,20,41.83
P297,136,32,71,28,49,7,11,89.35
P298,105,34,69,30,45,5,47,73.9
P299,17,27,71,19,71,9,40,32.36
P300,7,21,67,4,46,9,33,21.21
P301,98,19,65,1,66,8,22,72.48
P302,78,20,64,16,58,10,45,62.15
P303,164,37,47,4,36,7,33,104.31
P304,91,35,63,24,39,5,48,65.08
P305,133,19,42,1,38,9,31,88.17
P306,137,32,49,19,62,5,30,97.73
P307,86,23,65,19,77,10,29,72.98
P308,134,34,74,15,75,8,29,97.03
P309,9,29,61,21,37,7,47,19.41
P310,166,18,78,15,46,9,47,108.77
P311,18,36,70,5,63,9,49,32.34
P312,102,22,83,7,32,8,17,65.73
P313,117,28,66,4,56,9,23,82.43
P314,161,33,87,23,33,9,18,102.2
P315,148,28,82,15,63,7,30,105.04
P316,122,35,61,17,52,9,26,85.73
P317,54,25,57,17,49,5,29,47.78
P318,58,33,60,15,52,8,27,48.38
P319,151,35,64,28,55,10,32,106.03
P320,42,27,42,9,75,4,32,47.99
P321,172,26,87,15,43,5,44,108.89
P322,148,26,48,3,69,9,47,102.59
P323,17,34,54,20,44,4,16,22.91
P324,125,21,83,24,38,4,45,85.85
P325,45,31,81,29,60,7,22,46.8
P326,78,28,58,20,33,10,15,57.91
P327,64,35,87,23,32,5,36,50.04
P328,50,19,65,25,61,5,28,49.08
P329,7,27,76,19,36,6,28,17.48
P330,169,35,73,15,38,10,42,108.22
P331,54,21,61,5,76,7,26,53.32
P332,8,28,90,9,66,9,22,23.92
P333,168,30,67,16,50,4,35,110.11
P334,52,22,70,10,45,4,26,41.93
P335,119,26,61,9,67,9,46,85.2
P336,172,29,84,7,33,9,17,107.08
P337,45,30,83,16,75,10,29,50.63
P338,168,27,63,19,44,5,18,107.32
P339,121,37,63,13,74,8,40,91.35
P340,175,24,88,7,73,10,48,122.72
P341,25,34,68,16,75,6,14,38.36
P342,33,19,75,28,62,5,46,39.08
P343,47,28,73,14,37,9,23,41.82
P344,130,20,72,14,33,7,18,83.34
P345,121,36,43,17,59,9,29,87.64
P346,106,26,40,23,43,8,14,71.42
P347,93,20,74,1,34,7,12,60.54
P348,51,22,89,20,76,9,36,52.13
P349,102,32,64,12,35,9,44,68.48
P350,94,21,51,17,55,8,18,71.04
P351,62,18,88,0,49,7,44,49.34
P352,102,25,55,14,52,5,27,71.09
P353,33,19,82,13,69,10,11,37.85
P354,22,21,78,1,58,8,13,27.76
P355,16,30,68,7,64,5,13,25.36
P356,79,25,86,18,50,8,48,63.87
P357,87,25,59,28,39,9,43,63.11
P358,81,26,43,17,67,9,21,67.38
P359,114,35,71,1,52,9,34,81.5
P360,86,31,66,4,49,7,21,64.54
P361,126,25,54,9,75,5,39,94.6
P362,148,31,66,17,63,5,34,100.06
P363,57,28,81,2,58,10,33,48.71
P364,53,19,57,12,73,8,48,49.72
P365,23,24,88,18,76,9,45,36.31
P366,58,28,59,30,30,5,22,47.42
P367,35,33,55,22,68,9,23,41.09
P368,66,35,60,24,48,7,39,53.98
P369,96,27,56,11,62,7,39,71.05
P370,125,28,53,11,50,7,12,85.56
P371,61,22,41,8,65,8,47,56.19
P372,80,22,52,10,44,7,46,61.83
P373,132,35,81,30,73,6,26,97.39
P374,130,38,87,15,59,5,32,87.62
P375,144,33,51,29,64,9,13,100.86
P376,24,19,88,0,56,5,50,28.76
P377,43,18,53,16,59,6,13,41.94
P378,175,37,70,21,61,4,10,114.19
P379,110,18,41,16,76,6,44,86.74
P380,9,34,84,21,57,10,21,22.35
P381,29,34,49,7,42,8,43,29.75
P382,95,26,90,12,35,6,35,65.32
P383,67,25,59,21,35,9,12,48.23
P384,102,30,75,15,33,9,10,70.18
P385,26,33,67,20,80,6,46,42.56
P386,29,34,42,7,43,10,46,32.19
P387,16,20,83,29,47,8,46,27.96
P388,50,28,41,30,43,8,19,45.91
P389,106,20,59,5,66,5,46,80.3
P390,104,35,61,12,78,9,18,82.61
P391,25,34,87,11,33,4,37,23.8
P392,24,28,78,24,69,8,35,39.73
P393,88,18,80,8,80,7,41,70.71
P394,146,30,67,5,73,8,34,100.72
P395,163,27,55,22,34,4,27,100.47
P396,167,22,87,12,50,6,16,105.04
P397,83,32,63,24,47,4,18,58.66
P398,115,32,75,17,62,7,16,80.04
P399,95,35,45,19,68,10,30,77.11
P400,8,27,66,12,79,4,45,31.07
P401,67,36,73,5,73,7,20,55.82
P402,82,26,71,4,34,5,37,55.94
P403,81,33,90,2,53,6,25,62.04
P404,131,37,79,6,59,4,18,87.33
P405,106,28,79,12,51,7,31,75.59
P406,171,37,48,9,50,8,22,109.96
P407,50,30,60,9,77,9,50,52.83
P408,152,25,60,12,47,10,35,100.39
P409,149,24,77,17,41,9,45,95.64
P410,123,24,68,25,48,10,14,87.28
P411,109,33,48,20,49,5,26,77.2
P412,113,30,44,14,68,7,47,84.23
P413,134,31,74,1,80,6,44,98.28
P414,26,21,89,7,72,9,32,34.77
P415,161,19,76,20,73,9,35,115.02
P416,89,31,46,0,36,6,24,60.95
P417,137,35,77,22,66,5,38,95.66
P418,123,36,84,16,39,6,11,80.27
P419,80,31,45,3,76,5,32,65.1
P420,121,24,73,15,52,7,16,83.15
P421,120,28,44,9,32,10,17,76.21
P422,92,38,46,21,40,9,25,65.58
P423,146,23,61,17,57,7,24,100.75
P424,166,23,51,20,72,7,35,111.68
P425,162,24,68,18,57,7,10,108.49
P426,57,26,88,22,80,4,46,54.18
P427,142,23,63,10,42,7,17,90.67
P428,130,34,80,10,68,7,49,92.84
P429,34,29,62,27,59,8,21,41.22
P430,81,37,77,2,73,5,30,62.84
P431,83,21,51,11,74,5,42,67.37
P432,157,22,76,12,57,5,41,105.45
P433,170,23,75,5,61,6,18,109.67
P434,120,37,43,27,52,4,41,81.35
P435,103,35,72,20,61,7,41,76.65
P436,118,33,50,2,66,4,24,82.31
P437,75,25,74,9,40,10,39,57.45
P438,131,35,72,3,66,4,27,92.35
P439,98,35,88,1,78,9,38,77.97
P440,113,21,87,26,71,10,25,84.68
P441,13,32,56,11,35,7,17,21.25
P442,65,24,87,18,74,6,49,60.56
P443,47,37,48,25,43,10,23,44
P444,150,29,74,8,68,8,20,102.76
P445,79,27,76,8,62,9,16,61.23
P446,110,19,57,27,71,5,18,80.48
P447,87,25,88,26,73,7,41,70.17
P448,166,26,80,13,54,7,14,109.55
P449,28,30,72,23,47,9,33,33.28
P450,129,28,77,0,79,10,15,96.34
P451,122,38,82,22,52,10,14,86.63
P452,106,24,67,26,43,7,27,73.39
P453,77,28,75,18,38,8,41,59.87
P454,179,19,42,3,70,10,39,117.66
P455,45,32,69,0,57,5,18,43.46
P456,82,23,57,2,71,6,26,63.3
P457,175,38,50,1,55,9,29,114.84
P458,64,31,81,2,75,4,10,53.93
P459,24,22,77,7,63,9,38,30.9
P460,92,21,67,22,38,7,14,62.54
P461,27,21,46,10,53,6,18,30.36
P462,39,38,83,4,34,8,46,31.22
P463,171,23,68,11,76,5,50,119.07
P464,110,37,83,14,43,4,16,71.33
P465,36,36,86,12,52,7,30,38.5
P466,68,26,81,2,45,8,48,54.37
P467,160,27,89,30,74,4,29,109.86
P468,160,34,52,23,55,6,13,107.32
P469,66,33,64,3,45,7,50,52.7
P470,140,18,63,29,50,5,34,96.23
P471,150,31,63,17,73,5,40,108.23
P472,23,18,77,2,30,6,23,19.6
P473,20,30,72,9,70,9,42,35.83
P474,113,30,45,20,64,8,49,82.68
P475,26,27,45,16,43,10,19,30.88
P476,105,36,80,24,71,9,14,79.17
P477,116,25,43,7,35,7,17,75.77
P478,160,19,59,21,77,9,21,109.77
P479,40,18,50,15,52,8,43,41.65
P480,71,23,63,4,77,10,27,64.27
P481,35,18,61,25,57,6,43,35.93
P482,152,38,44,15,59,8,33,100.13
P483,150,23,63,5,46,10,16,100.47
P484,177,21,54,23,62,4,12,118
P485,8,25,42,15,53,7,19,19.96
P486,14,35,85,23,71,7,24,29.03
P487,111,28,57,26,34,8,33,73.8
P488,177,19,51,7,63,4,35,113.14
P489,124,27,89,27,49,6,15,85.66
P490,7,29,52,9,66,10,29,27.34
P491,67,32,63,18,61,10,22,59.05
P492,144,25,49,0,56,4,24,95.69
P493,167,18,61,0,78,9,34,117.09
P494,83,21,53,16,45,7,41,64.61
P495,41,26,45,1,44,10,43,38.52
P496,100,32,87,2,67,4,42,72.73
P497,105,20,77,18,33,7,18,68.25
P498,71,28,65,22,77,6,30,63.38
P499,64,20,52,4,79,10,47,57.81
P500,32,23,68,14,50,7,17,34.14
